source_name,source_username,expert_units_net,expert_record_win,expert_record_loss,expert_record_push,market_type,bet_label,line,odds,stake_units,units_type,prop_name,notes,game_id,league,pick_id,expert_id,created_at,updated_at,scraped_at,source_url,unique_key
Chris Raybon,ChrisRaybon,2.1995000000000005,13,9,0,total,D.Maye o36.5 Rush Yds,36.5,-117,1,unit,Rush Yds,"#SundaySixPack 

6.6 car, 38.9 rush yd (5.9 YPC) w/ 41+ in 4-of-7g post-bye vs. 6.2-24.5 (3.9) w/ 31 or less in 10-of-13g pre-bye.

SEA D 6.5% scramble rate allowed 6th-highest. 

Maye 10.4% scramble rate with rookie LT Will Campbell + rookie LG Jared Wilson both active vs. 8.7% when one/both miss.",284635,nfl,531728315,130683,2026-02-04T21:21:42.590Z,2026-02-04T21:21:42.590Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,b944caee496638b1b800286d01c6b4be33bdffb7dd05c0f79c75a69aaa15023e
Chris Raybon,ChrisRaybon,2.1995000000000005,13,9,0,total,D.Maye o35.5 Rush Yds,35.5,-114,1,unit,Rush Yds,"6.6 car, 38.9 rush yd (5.9 YPC) w/ 41+ in 4-of-7g post-bye vs. 6.2-24.5 (3.9) w/ 31 or less in 10-of-13g pre-bye.

SEA D 6.5% scramble rate allowed 6th-highest. 

Maye 10.4% scramble rate with rookie LT Will Campbell + rookie LG Jared Wilson both active vs. 8.7% when one/both miss.",284635,nfl,530559910,130683,2026-01-27T19:51:29.407Z,2026-01-27T19:51:29.407Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,c856e96de856a55eb914e4f5145559a156de9b1907604368ac725d28d106ff70
Chris Raybon,ChrisRaybon,2.1995000000000005,13,9,0,ml,D.Maye Player To Have Most Rushing Yards Yes,0,750,1,unit,Player To Have Most Rushing Yards,"SEA D #1 rush DVOA, 3.6 YPC, 73.5 YPG to RB. 

NE D 3.2 YPC, 52.8 yd/g to RB in 15g with Milton Williams.

Maye 3g of 62+ including 65 in CC, 66 in WC could be enough ",284635,nfl,530884475,130683,2026-01-29T22:30:22.323Z,2026-01-29T22:30:22.323Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,63620079ef3efca0d33697100d3476c809e8771e738081824bf1e5c24a0ec6ba
Chris Raybon,ChrisRaybon,2.1995000000000005,13,9,0,total,K.Walker u84.5 Rush Yds,84.5,-114,1,unit,Rush Yds,"NE D 3.2 YPC, 52.8 yd/g to RB in 15g with Milton Williams.

Walker 19-62 last week vs LAR D allowing 4.1 YPC, 87.1 YPG to RB.",284635,nfl,530396919,130683,2026-01-26T03:36:34.728Z,2026-01-26T03:36:34.728Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,dcb7207440d7c7e46e530d0ef8d7a97c06919130457c4f8c78ff5ce6dc3b0e55
Chris Raybon,ChrisRaybon,2.1995000000000005,13,9,0,total,K.Walker u73.5 Rush Yds,73.5,-110,1,unit,Rush Yds,"#SundaySixPack 

NE D 3.2 YPC, 52.8 yd/g to RB in 15g with Milton Williams.

Walker 19-62 last week vs LAR D allowing 4.1 YPC, 87.1 YPG to RB.",284635,nfl,531728314,130683,2026-02-04T21:21:42.590Z,2026-02-04T21:21:42.590Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,2862667463f454f26f139188f5fb369686d1939e4d838fc293c94ed4040a95c5
Chris Raybon,ChrisRaybon,2.1995000000000005,13,9,0,total,E.Arroyo o0.5 Recs,0.5,-110,1,unit,Recs,Has been TE2 in every game active and bet voids if inactive. 1+ rec in 9-of-13 (69%) active.,284635,nfl,530995472,130683,2026-01-30T20:25:25.240Z,2026-01-30T20:25:25.240Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,683e089c0316d1151a6a9ab1dd7cada9adda5cec18a906a966dba120e9d1b0e9
Chris Raybon,ChrisRaybon,2.1995000000000005,13,9,0,total,D.Maye o0.5 Int,0.5,-120,1,unit,Int,"INT in all 3 losses and 9-of-13g (69%) w/ 24+ pass attempts.

SEA D INT in 12-of-19g (63%), 2.9% INT% (8th), 4.2% TO-worthy (6th).",284635,nfl,530995471,130683,2026-01-30T20:25:25.240Z,2026-01-30T20:25:25.240Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,1827cc9cfa81dd329b9c4ad530b1206712d587c8bfe3ca329209f2cfa9b27f1d
Chris Raybon,ChrisRaybon,2.1995000000000005,13,9,0,total,D.Douglas o9.5 Rec Yds,9.5,-110,1,unit,Rec Yds,"1.8 rec, 29.6 yd, 10+ rec yd in 12-of-16g (75%) since Oct after 5 rec, 13 yards total (3.3/g) in 4g in Sep. 

10.0% TarMS tied/trailing vs 8.4% leading.",284635,nfl,531579554,130683,2026-02-03T20:40:52.606Z,2026-02-03T20:40:52.606Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,afba9bdd794a1669dd8ca66f85018d0ea8da7c46cd698246599c2d058a7b1c69
Chris Raybon,ChrisRaybon,2.1995000000000005,13,9,0,ml,J.Smith-Njigba Anytime TD Scorer Yes,0,-105,1,unit,Anytime TD Scorer,"TD in 10-of-19 (52.6%). 

NE D 22 pass TD (85%), 4 rush TD (15%) in 15g w/ Milton Williams. 

70% of rec TD allowed by NE have gone to WRs.",284635,nfl,531579555,130683,2026-02-03T20:40:52.606Z,2026-02-03T20:40:52.606Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,5717cff6b089288de403015fed22b32e90582a6d4eb908a5e7d6ebf8851ea4a3
Chris Raybon,ChrisRaybon,2.1995000000000005,13,9,0,props,SEA u106.5 Rush Yds,-110,-106,1,unit,Custom Picks,"NE D 80.6 rush YPG in 15g w/ Milton Williams.

NE D 87 or less rush yd in 11-of-15g (73%) w/ Williams, 111+ in 5-of-5g w/o.",284635,nfl,531729261,130683,2026-02-04T21:28:20.324Z,2026-02-04T21:28:20.324Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,62017cd084803b637fdd5299916ed0b5d63b6902db7ae9b5b10762996cc2ab06
Chris Raybon,ChrisRaybon,2.1995000000000005,13,9,0,unknown,T.Henderson 50+ Rushing Yards Yes,50,950,1,unit,50+ Rushing Yards,"53+ rush yd in 9-of-20 (45%), 32 or less in the rest.

4 carries of 52+ so not dead even if usage doesn’t rebound.",284635,nfl,530884673,130683,2026-01-29T22:31:19.003Z,2026-01-29T22:31:19.003Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,6592e06b9b188d85b73927c85c05a1fe600a7de0711ff708f1db172cae56ca1e
Sean Koerner,The_Oddsmaker,1.3372,33,29,0,total,R.Stevenson u56.5 Rush Yds,56.5,-115,0.58,unit,Rush Yds,"Rhamondre has certainly been on fire over the last four games heading into the Super Bowl, but I think we could see a dip in both his volume and efficiency in the big game.

First, let’s talk about volume. The Patriots have won six straight games and went 14–3 in the regular season, and as a result, they’ve played with the lead 62% of the time this season. That’s allowed them to lean on the run at a higher rate due to game script. However, they still ranked 5th in pass rate over expected, so if they ever do get into a trailing script, we could see their designed rush attempt volume to RBs specifically plummet.

We also saw TreVeyon Henderson essentially phased out last week, with Rhamondre racking up 25 carries. A lot of that shift likely had to do with the weather and the massive amount of snow we saw in the second half, as the Pats were simply trying to run out the clock and lean on their defense to keep Jarrett Stidham from beating them. As rare 4.5-point underdogs here, I’m projecting the Pats to play with the lead at a 30% lower rate than usual, which is very high for this late in the season. That means I’m projecting their overall dropback rate to go up and their designed rush attempts to go down, with Henderson mixing in closer to his typical role. That leaves Rhamondre projected closer to 13–13.5 rush attempts, making his Under 14.5 rush attempts (current line) very much in play.

The reason I’d rather fade his yardage, though, is that I also expect a dip in efficiency. Rhamondre has been great this year, averaging 4.6 yards per carry, but the Pats have had by far the easiest schedule this season. The Seahawks defense ranks 1st in DVOA and will be his toughest matchup to date.

Stevenson has led the league with a ridiculous 6.9 yards per carry against stacked boxes. However, Seattle uses a stacked box at the 2nd lowest rate in the league and instead tends to use seven defenders in the box at one of the highest rates. When facing seven defenders in the box, Rhamondre’s efficiency plummets, averaging just 3.1 yards per carry, which ranks 45th out of 48 qualified RBs. He also runs inside the tackles at the 4th highest rate, essentially straight into the teeth of the defense, which will make it tougher for him to rack up explosive runs. If he struggles early, we could also see Henderson mix in more, which would further lower Rhamondre’s volume.

I’m projecting him closer to 49.5 rushing yards, with around a 60% chance to stay under 56.5.",284635,nfl,530426981,169842,2026-01-26T17:00:58.603Z,2026-01-26T17:00:58.603Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,7e5ca1e1481d4218ca4782eb84f64ffffb760fac605eff3d4c596b8b85c6c0d8
Sean Koerner,The_Oddsmaker,1.3372,33,29,0,unknown,Michael Dickson Longest Punt Under 57.5 yards,57.5,-115,0.58,unit,Custom Picks,Gave out on live show (live now!),284635,nfl,531576442,169842,2026-02-03T20:16:43.537Z,2026-02-03T20:16:43.537Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,898f798b8066712ce09d8651e472db8da91bef82e96f85b0711693143c6605a4
Sean Koerner,The_Oddsmaker,1.3372,33,29,0,unknown,Stefon Diggs (3Q) Over 5.5 Rec Yds,5.5,-112,0.56,unit,Custom Picks,Gave out on live show (live now!). Also love attacking alt overs for this market ,284635,nfl,531579078,169842,2026-02-03T20:37:31.556Z,2026-02-03T20:37:31.556Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,f59d111b001cf88a7e40ca6ee93c895d71247cc4a0dca48797169f4b1ec803db
Sean Koerner,The_Oddsmaker,1.3372,33,29,0,total,L.Williams o3.5 Tackles + Ast,3.5,125,0.5,unit,Tackles + Ast,Gave out on live prop show. Live now!,284635,nfl,530993426,169842,2026-01-30T20:07:20.308Z,2026-01-30T20:07:20.308Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,5c7235e353d7f1cd943f394ec9518f9a80820fcfd1036dd74f8cc6ce49a71630
Sean Koerner,The_Oddsmaker,1.3372,33,29,0,total,A.Barner u13.5 Longest Reception,13.5,-118,0.59,unit,Longest Reception,Gave out on live show ,284635,nfl,530993924,169842,2026-01-30T20:12:11.168Z,2026-01-30T20:12:11.168Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,ce4452090fce631b973e8446846cc47a55ba547d85406100951d3534f5c652e0
Sean Koerner,The_Oddsmaker,1.3372,33,29,0,total,E.Arroyo o0.5 Recs,0.5,-110,0.55,unit,Recs,On this with @ChrisRaybon ,284635,nfl,530994290,169842,2026-01-30T20:15:04.455Z,2026-01-30T20:15:04.455Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,b3b2c9b389e5abadba3c0464ccb82b63595d7b69e0eb1bfd7d3a00a3d998c763
Sean Koerner,The_Oddsmaker,1.3372,33,29,0,unknown,Hunter Henry Under 4.5 1Q Rec Yds,4.5,-112,0.56,unit,Custom Picks,Gave out of Prop-a-Palooza pod (now up!). Henry has a team low 11% target rate in the 1Q. Just 5 rec in 1Q in 20 games this year. Have him closer to 60% chance to stay under 4.5,284635,nfl,530886771,169842,2026-01-29T22:40:18.356Z,2026-01-29T22:40:18.356Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,34e1cc75e7c780ad55a3788fcd042d03ac7e0bb6bb972f7d182a1207f5fe797b
Sean Koerner,The_Oddsmaker,1.3372,33,29,0,unknown,Hunter Henry Over 8.5 2Q Rec Yds,8.5,-110,0.55,unit,Custom Picks,Gave out of Prop-a-Palooza pod (now up!). Leads team in targets for the 2Q with a 20% target rate and 21% first read rate. Usually not part of the initial scripted offense to start the game but clearly a much bigger role in the 2Q/4 min/2 min offense. Proj him closer to 11 and a 60% chance he clears 8.5,284635,nfl,530887317,169842,2026-01-29T22:42:54.978Z,2026-01-29T22:42:54.978Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,b4ef2c2fcbb62c1fdfc34494b60aa467d3cfcf0f9e8fa4f64b290aaaaa499639
Sean Koerner,The_Oddsmaker,1.3372,33,29,0,unknown,Which Quarter will Rhamondre Stevenson have the Most Rushing Yards - Q1,-110,290,0.2,unit,Custom Picks,"Gave out of Prop-a-Palooza pod (now up!). Projecting Rhamondre to have the most rushing yards in the 1Q closer to +170 (note: this market is specific to him, not that he will have the “most rushing yards” in the 1Q). With the Pats potentially ending up in a rare trailing game script, have a higher % of his rush att coming earlier in the game than usual.",284635,nfl,530888548,169842,2026-01-29T22:48:52.343Z,2026-01-29T22:48:52.343Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,3fb609b796b1d39593b17fc7d092854f5970d1e984117accade9acbb43594f43
Sean Koerner,The_Oddsmaker,1.3372,33,29,0,unknown,Sam Darnold 3Q Rush Yds Under 0.5,0.5,-275,1,unit,Custom Picks,"Gave out on live show. Only has one rush att in the 3Q all season (was an aborted snap that went for 0 yards). Makes sense as the offense will be fairly scripted coming out of half and most of his scrambles come in the 2nd and 4th Q. AJ Barner handling the QB sneak/tush push play limits his upside here.

Quickslip link: https://bit.ly/KOERNERSAM3QRUSH",284635,nfl,530997235,169842,2026-01-30T20:40:55.357Z,2026-01-30T20:40:55.357Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,2751e39151471a4a60f9c869be33d16ab55bbaa7df71d60d14f4f0c3de7fbacb
Sean Koerner,The_Oddsmaker,1.3372,33,29,0,total,D.Lawrence o0.25 Sacks,0.25,140,0.4,unit,Sacks,Gave out of Prop-a-Palooza pod (now up!). Proj closer to -125,284635,nfl,530893307,169842,2026-01-29T23:08:24.305Z,2026-01-29T23:08:24.305Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,3bae136235d7c1b0d4db066f65e25dfacc7bd69cdbb20280c4476765d0d6773c
Sean Koerner,The_Oddsmaker,1.3372,33,29,0,total,C.Elliss u6.5 Tackles + Ast,6.5,-118,0.59,unit,Tackles + Ast,"Elliss has only cleared this number in 5 of 18 games this season (28%), so on the surface this line already looks too high. My initial thought was that Robert Spillane’s ankle injury could justify it, since a Spillane absence might boost Elliss’ role. After digging in, that assumption turned out to be wrong.

When Spillane has missed time this season, the Patriots have had Jack Gibbens wear the green dot and take over Spillane’s role, with Jahlani Tavai also seeing an uptick in playing time. Elliss’ role has remained essentially unchanged whether Spillane is active or not, so Spillane’s status for the Super Bowl doesn’t meaningfully impact Elliss’ projection.

Seattle also sets up as a tougher matchup for Elliss to rack up tackles. He’s made a tackle on 20.6% of opponent run plays this season, but that rate is strongly correlated with how often teams run inside. The more inside runs, the higher his tackle rate. The Seahawks already rank 5th lowest in inside run rate, and with Zach Charbonnet done for the season and Kenneth Walker handling most of the workload, I’m projecting Seattle to run inside on just 35% of their attempts. That would rank 3rd lowest league wide, as Walker only runs inside on 33% of his carries, the 4th lowest rate among 49 qualified RBs. Charbonnet was much closer to league average at 49.5%.

As a result, I have Elliss projected for roughly 3 run tackles and around 2.5 tackles on completed passes. His playing time should sit in the 65–70% range regardless of Spillane’s status, which reinforces the idea that this number is simply too high, likely due to the market overvaluing Spillane’s injury.

I’m projecting Elliss closer to 5.8 tackles with around a 62% chance he stays under 6.5. Best price is currently the -118 at betMGM, but still in play at DK/FD/every other book offering tackle props. PrizePicks is offering it as well and would pair it with Leonard Williams Over 3.5 there (my other official tackle prop).",284635,nfl,531710184,169842,2026-02-04T18:55:49.305Z,2026-02-04T18:55:49.305Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,ebff46a56a79820844fd449a2fff99b194a66a540e25d50184106750b54f2ce8
Doug Ziefel,Dziefel7,7.34,116,127,1,unknown,Patriots 1st Drive Punt,-110,-113,0.57,unit,Custom Picks,,284635,nfl,531828937,192808,2026-02-05T14:00:26.867Z,2026-02-05T14:00:26.867Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,babd62b0e3ee75fdb25082c935918e31318bd5b4c5ebb8cff61e9d5259447216
