PosRank,Name,Position,half_ppr,full_ppr
26,Ja'Tavion Sanders,TE,7,8
27,Pat Freiermuth,TE,6,7
28,Cade Otton,TE,5,6
29,Mike Gesicki,TE,4,5
30,Isaiah Likely,TE,3,4
31,Harold Fannin Jr.,TE,3,4
32,Juwan Johnson,TE,2,3
33,Tyler Higbee,TE,2,3
34,Cole Kmet,TE,1,2
35,Terrance Ferguson,TE,1,2
36,Dalton Schultz,TE,1,2
37,Noah Gray,TE,1,2
38,Tyler Conklin,TE,1,2
39,Oronde Gadsden II,TE,1,2
40,AJ Barner,TE,1,2
